epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.989,0.78154,0.36602,0.00202,0.97375,0.9147,0.98121,0.79249,0.71907,0.28049,0.00224,0.0014588,0.0014588,0.0014588
43,189.803,0.74802,0.34934,0.00189,0.93006,0.94727,0.98233,0.81716,0.64195,0.25978,0.00182,0.0014456,0.0014456,0.0014456
44,193.689,0.77178,0.36491,0.00204,0.94793,0.94767,0.9821,0.76568,0.85282,0.30703,0.00268,0.0014324,0.0014324,0.0014324
45,197.499,0.77226,0.37269,0.00201,0.95561,0.94371,0.98,0.78034,0.77591,0.30355,0.00228,0.0014192,0.0014192,0.0014192
46,201.348,0.76002,0.35313,0.00201,0.94509,0.94306,0.98174,0.80387,0.65783,0.2712,0.00198,0.001406,0.001406,0.001406
47,205.081,0.84574,0.39998,0.00222,0.92599,0.95342,0.97963,0.81636,0.67825,0.28242,0.00191,0.0013928,0.0013928,0.0013928
48,208.827,0.76733,0.35995,0.00192,0.95682,0.92603,0.98337,0.80322,0.68166,0.26854,0.00213,0.0013796,0.0013796,0.0013796
49,212.483,0.76757,0.37173,0.00201,0.94689,0.94247,0.98322,0.83671,0.60801,0.24857,0.00188,0.0013664,0.0013664,0.0013664
50,216.254,0.78371,0.35767,0.00208,0.92464,0.95616,0.98181,0.81427,0.68999,0.26961,0.00198,0.0013532,0.0013532,0.0013532
51,219.98,0.80459,0.36482,0.00195,0.94061,0.92329,0.98113,0.83739,0.61846,0.25829,0.00188,0.00134,0.00134,0.00134
52,223.833,0.77982,0.37732,0.00199,0.93734,0.93151,0.97658,0.82294,0.67075,0.30944,0.00192,0.0013268,0.0013268,0.0013268
53,227.484,0.78706,0.3624,0.00211,0.97489,0.89315,0.97561,0.81449,0.66637,0.29148,0.00201,0.0013136,0.0013136,0.0013136
54,231.181,0.78924,0.34999,0.00194,0.94706,0.93127,0.97556,0.83248,0.59975,0.25775,0.00178,0.0013004,0.0013004,0.0013004
55,234.807,0.74604,0.34125,0.00193,0.94055,0.93699,0.98184,0.84131,0.57911,0.24132,0.00169,0.0012872,0.0012872,0.0012872
56,238.676,0.74461,0.32861,0.00192,0.96843,0.92442,0.98167,0.85018,0.58813,0.23854,0.00163,0.001274,0.001274,0.001274
57,242.508,0.78397,0.37663,0.00206,0.95118,0.93151,0.98001,0.76587,0.86433,0.30846,0.00261,0.0012608,0.0012608,0.0012608
58,246.213,0.76,0.33577,0.00201,0.96569,0.92525,0.97656,0.82195,0.64283,0.25489,0.0019,0.0012476,0.0012476,0.0012476
59,249.827,0.73114,0.35116,0.00187,0.95375,0.93973,0.97616,0.81403,0.66291,0.26917,0.00183,0.0012344,0.0012344,0.0012344
60,253.598,0.70027,0.31031,0.00177,0.96323,0.91233,0.97557,0.81823,0.64575,0.28658,0.00202,0.0012212,0.0012212,0.0012212
61,257.375,0.70599,0.34,0.00178,0.95173,0.92329,0.97668,0.8285,0.6389,0.26606,0.00177,0.001208,0.001208,0.001208
62,261.104,0.69643,0.32347,0.00195,0.93023,0.95342,0.98211,0.81927,0.65367,0.26021,0.00197,0.0011948,0.0011948,0.0011948
63,264.941,0.73437,0.3533,0.00189,0.93655,0.94521,0.97993,0.85181,0.55687,0.24421,0.00158,0.0011816,0.0011816,0.0011816
64,268.869,0.68263,0.32579,0.00179,0.92685,0.93699,0.97375,0.81996,0.66095,0.2755,0.00202,0.0011684,0.0011684,0.0011684
65,272.532,0.74583,0.3552,0.00185,0.92292,0.95135,0.9737,0.84629,0.57526,0.26187,0.00165,0.0011552,0.0011552,0.0011552
66,276.176,0.7415,0.35098,0.00196,0.92518,0.94521,0.97825,0.75772,0.87792,0.32827,0.00279,0.001142,0.001142,0.001142
67,279.875,0.67662,0.32543,0.00178,0.93411,0.93214,0.97666,0.84933,0.56406,0.26213,0.00163,0.0011288,0.0011288,0.0011288
68,283.64,0.65314,0.31506,0.00175,0.949,0.92055,0.97524,0.84277,0.58217,0.26276,0.00171,0.0011156,0.0011156,0.0011156
69,287.355,0.69118,0.33243,0.00174,0.95389,0.92877,0.97376,0.83338,0.62555,0.27444,0.00187,0.0011024,0.0011024,0.0011024
70,291.015,0.71706,0.31673,0.0018,0.9524,0.92877,0.97263,0.85033,0.59881,0.28941,0.00174,0.0010892,0.0010892,0.0010892
71,294.692,0.69556,0.32165,0.00185,0.98497,0.89759,0.97551,0.82603,0.62592,0.28972,0.00182,0.001076,0.001076,0.001076
72,298.391,0.66177,0.31645,0.00173,0.96606,0.9357,0.97545,0.82258,0.6549,0.2787,0.00211,0.0010628,0.0010628,0.0010628
73,302.113,0.72179,0.33084,0.0019,0.96566,0.92448,0.98129,0.77451,0.79898,0.28968,0.00233,0.0010496,0.0010496,0.0010496
74,305.862,0.70936,0.34023,0.00176,0.95169,0.92603,0.98023,0.85412,0.56198,0.24042,0.00164,0.0010364,0.0010364,0.0010364
75,309.78,0.69731,0.33712,0.00168,0.95271,0.92055,0.97874,0.83146,0.60489,0.26395,0.00176,0.0010232,0.0010232,0.0010232
76,313.566,0.65166,0.3113,0.00161,0.95228,0.92877,0.97599,0.8285,0.63075,0.25296,0.00185,0.00101,0.00101,0.00101
77,317.282,0.61691,0.30133,0.00153,0.95978,0.91527,0.97401,0.85802,0.56226,0.2514,0.00161,0.0009968,0.0009968,0.0009968
78,321.052,0.68423,0.32008,0.00173,0.95117,0.93151,0.97562,0.84657,0.59744,0.25968,0.00181,0.0009836,0.0009836,0.0009836
79,324.715,0.70145,0.32196,0.00184,0.94673,0.92504,0.97877,0.82952,0.62937,0.26535,0.0019,0.0009704,0.0009704,0.0009704
80,328.53,0.69351,0.33805,0.00171,0.94399,0.92353,0.97886,0.85932,0.55981,0.24377,0.00158,0.0009572,0.0009572,0.0009572
81,332.346,0.67456,0.34393,0.00165,0.93859,0.92121,0.97854,0.83981,0.61098,0.25831,0.00176,0.000944,0.000944,0.000944
82,336.081,0.69175,0.34432,0.00174,0.95233,0.92603,0.97646,0.8502,0.59361,0.24923,0.00173,0.0009308,0.0009308,0.0009308
83,339.78,0.6392,0.30272,0.00174,0.94754,0.94021,0.98154,0.8499,0.58912,0.24295,0.00172,0.0009176,0.0009176,0.0009176
84,343.512,0.69349,0.31423,0.00174,0.95796,0.93654,0.97799,0.82827,0.62886,0.24934,0.00199,0.0009044,0.0009044,0.0009044
85,347.19,0.67035,0.30706,0.00188,0.96501,0.93151,0.98292,0.85168,0.57946,0.23549,0.00171,0.0008912,0.0008912,0.0008912
86,350.785,0.64179,0.29988,0.00161,0.96503,0.91507,0.98096,0.84241,0.58644,0.24248,0.0017,0.000878,0.000878,0.000878
87,354.481,0.65368,0.30159,0.00166,0.98295,0.90685,0.97789,0.8542,0.56589,0.23514,0.00167,0.0008648,0.0008648,0.0008648
