epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.2918,0.68241,0.47724,0.842,0.97412,0.92807,0.97946,0.80139,0.69095,0.44866,0.80272,0.0014588,0.0014588,0.0014588
43,99.1284,0.64724,0.47044,0.82777,0.95547,0.94052,0.98482,0.80289,0.68657,0.42195,0.80197,0.0014456,0.0014456,0.0014456
44,100.996,0.68189,0.47244,0.84722,0.96073,0.95616,0.98661,0.82466,0.60481,0.38937,0.79318,0.0014324,0.0014324,0.0014324
45,102.841,0.65512,0.46084,0.83347,0.96629,0.94238,0.98561,0.80809,0.61952,0.39586,0.79442,0.0014192,0.0014192,0.0014192
46,104.654,0.65404,0.45396,0.83566,0.97994,0.93694,0.98842,0.8222,0.59318,0.41291,0.79565,0.001406,0.001406,0.001406
47,106.476,0.66225,0.45963,0.84015,0.97697,0.92055,0.98267,0.8323,0.56964,0.39296,0.79177,0.0013928,0.0013928,0.0013928
48,108.351,0.66178,0.44717,0.84183,0.98227,0.92055,0.98474,0.79078,0.83966,0.43951,0.82721,0.0013796,0.0013796,0.0013796
49,110.115,0.65037,0.44588,0.83873,0.97385,0.91821,0.98681,0.82196,0.73015,0.41021,0.81286,0.0013664,0.0013664,0.0013664
50,111.889,0.65978,0.4444,0.83828,0.96361,0.94325,0.98789,0.81978,0.70288,0.40168,0.81176,0.0013532,0.0013532,0.0013532
51,113.623,0.66593,0.4486,0.83006,0.95473,0.94795,0.98806,0.83681,0.5933,0.37686,0.79501,0.00134,0.00134,0.00134
52,115.457,0.6592,0.46212,0.8389,0.95291,0.94248,0.9834,0.83484,0.61575,0.38894,0.79566,0.0013268,0.0013268,0.0013268
53,117.318,0.6408,0.4378,0.84336,0.97038,0.92055,0.9834,0.83456,0.6019,0.3976,0.79343,0.0013136,0.0013136,0.0013136
54,119.073,0.65462,0.43521,0.83416,0.96335,0.93625,0.98271,0.84187,0.56707,0.41274,0.7888,0.0013004,0.0013004,0.0013004
55,120.919,0.65721,0.43397,0.83092,0.96617,0.93902,0.98204,0.82426,0.64186,0.40311,0.79794,0.0012872,0.0012872,0.0012872
56,122.755,0.64243,0.42426,0.83351,0.96596,0.93287,0.9767,0.83642,0.60103,0.40718,0.79359,0.001274,0.001274,0.001274
57,124.543,0.64829,0.43335,0.83706,0.95803,0.94795,0.98488,0.81827,0.68162,0.38401,0.80194,0.0012608,0.0012608,0.0012608
58,126.411,0.59385,0.40791,0.82791,0.95271,0.9383,0.97558,0.81583,0.65784,0.38411,0.79949,0.0012476,0.0012476,0.0012476
59,128.168,0.6395,0.42332,0.83887,0.96072,0.91507,0.97666,0.82629,0.61647,0.38242,0.79447,0.0012344,0.0012344,0.0012344
60,129.954,0.61869,0.40189,0.82263,0.93348,0.92055,0.96602,0.80266,0.66691,0.41156,0.80034,0.0012212,0.0012212,0.0012212
61,131.695,0.61267,0.42027,0.82477,0.93791,0.95191,0.97512,0.83974,0.56642,0.38243,0.78898,0.001208,0.001208,0.001208
62,133.547,0.58432,0.39881,0.82808,0.93283,0.95122,0.9745,0.83833,0.60153,0.38577,0.79128,0.0011948,0.0011948,0.0011948
63,135.342,0.62705,0.41785,0.83707,0.92093,0.95731,0.98049,0.84174,0.5989,0.36713,0.79188,0.0011816,0.0011816,0.0011816
64,137.186,0.6054,0.40833,0.83119,0.93829,0.94247,0.98252,0.81877,0.65389,0.36743,0.7978,0.0011684,0.0011684,0.0011684
65,138.967,0.63874,0.428,0.83304,0.92257,0.95616,0.98361,0.81483,0.66291,0.37546,0.79856,0.0011552,0.0011552,0.0011552
66,140.765,0.64265,0.42643,0.83328,0.93367,0.93699,0.97428,0.82463,0.63492,0.39154,0.79715,0.001142,0.001142,0.001142
67,142.508,0.62657,0.42786,0.83112,0.93681,0.94247,0.98196,0.83941,0.60884,0.39042,0.79206,0.0011288,0.0011288,0.0011288
