epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7654,1.58121,4.19128,1.3453,0.6291,0.74247,0.74391,0.55793,1.03195,3.55451,0.87445,0.00016,0.00016,0.00016
2,20.9253,0.86643,0.81272,0.89423,0.9138,0.86575,0.91834,0.7131,0.8695,1.34644,0.84945,0.000337756,0.000337756,0.000337756
3,24.8056,0.78371,0.61569,0.86806,0.93853,0.88219,0.95131,0.75144,0.69628,0.9682,0.81289,0.000513136,0.000513136,0.000513136
4,28.0427,0.84738,0.59707,0.87751,0.89653,0.89315,0.94611,0.73776,0.7488,1.36735,0.81848,0.00068614,0.00068614,0.00068614
5,31.0614,0.87584,0.59781,0.89092,0.82382,0.86575,0.89955,0.6437,1.01548,1.02264,0.85552,0.000856768,0.000856768,0.000856768
6,33.9865,0.88535,0.57852,0.88258,0.92844,0.89041,0.95049,0.76943,0.70406,0.60179,0.80699,0.00102502,0.00102502,0.00102502
7,37.0712,0.80777,0.55672,0.87487,0.93338,0.90685,0.9528,0.73848,0.79005,0.80736,0.81471,0.0011909,0.0011909,0.0011909
8,40.0216,0.85766,0.58826,0.88359,0.96073,0.87127,0.9445,0.72111,0.83836,0.68482,0.82931,0.0013544,0.0013544,0.0013544
9,42.836,0.80066,0.59418,0.87884,0.93067,0.88219,0.94764,0.72537,0.80887,0.63366,0.82477,0.00151552,0.00151552,0.00151552
10,45.6147,0.80102,0.56171,0.87002,0.88234,0.89315,0.92824,0.71001,0.76377,0.63692,0.82073,0.00167427,0.00167427,0.00167427
11,48.4843,0.77831,0.52807,0.8796,0.92953,0.9035,0.95648,0.77787,0.72735,0.58295,0.81142,0.00183064,0.00183064,0.00183064
12,51.4466,0.74746,0.48781,0.86727,0.95807,0.92055,0.97616,0.77644,0.71027,0.56856,0.80776,0.0018548,0.0018548,0.0018548
13,54.2499,0.74261,0.4555,0.86328,0.89516,0.88896,0.94504,0.7432,0.79633,0.55083,0.82256,0.0018416,0.0018416,0.0018416
14,57.0137,0.7523,0.49789,0.86845,0.90305,0.89863,0.94439,0.74201,0.72718,0.55042,0.81359,0.0018284,0.0018284,0.0018284
15,59.7678,0.71116,0.47391,0.8597,0.89867,0.86849,0.93845,0.75642,0.73703,0.63216,0.81416,0.0018152,0.0018152,0.0018152
16,62.497,0.71467,0.47226,0.85902,0.8578,0.91233,0.94208,0.7515,0.67081,0.57734,0.80229,0.001802,0.001802,0.001802
17,65.2182,0.77175,0.48916,0.86809,0.91824,0.89589,0.94799,0.76254,0.69583,0.57539,0.80898,0.0017888,0.0017888,0.0017888
18,67.96,0.84391,0.51388,0.88388,0.95611,0.87671,0.96244,0.77963,0.71911,0.49258,0.81045,0.0017756,0.0017756,0.0017756
19,70.9939,0.77793,0.4844,0.87367,0.98083,0.89315,0.9672,0.70534,0.90638,0.5048,0.84671,0.0017624,0.0017624,0.0017624
20,73.8529,0.76517,0.46779,0.86859,0.81565,0.70309,0.8148,0.60102,0.99018,0.91664,0.85295,0.0017492,0.0017492,0.0017492
21,76.637,0.73643,0.44771,0.85686,0.55149,0.46301,0.48703,0.33922,1.05771,1.51392,0.88226,0.001736,0.001736,0.001736
22,79.4054,0.74164,0.4557,0.8516,0.87849,0.81211,0.91817,0.73276,0.71302,0.52045,0.80493,0.0017228,0.0017228,0.0017228
23,82.2379,0.71229,0.45026,0.85937,0.9204,0.85533,0.93729,0.77609,0.64082,0.51379,0.80043,0.0017096,0.0017096,0.0017096
24,84.9545,0.6764,0.42165,0.84555,0.94399,0.87741,0.9469,0.78455,0.60241,0.513,0.79359,0.0016964,0.0016964,0.0016964
25,87.7919,0.6673,0.4105,0.84716,0.94183,0.91507,0.97315,0.78106,0.69315,0.42473,0.80556,0.0016832,0.0016832,0.0016832
26,90.5519,0.70138,0.43417,0.85483,0.95849,0.92055,0.97579,0.82721,0.60223,0.42399,0.78945,0.00167,0.00167,0.00167
27,93.5461,0.68778,0.4336,0.84927,0.93732,0.94236,0.97376,0.78287,0.70813,0.42774,0.80813,0.0016568,0.0016568,0.0016568
28,96.3398,0.64712,0.42379,0.84571,0.94395,0.92276,0.97341,0.77781,0.74677,0.422,0.8141,0.0016436,0.0016436,0.0016436
