epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9798,2.31323,3.79138,1.4832,0.00444,0.06897,0.00035,0.00016,2.14509,3.61083,1.32235,2e-05,2e-05,2e-05
2,26.1168,2.0715,3.78094,1.45374,0.00556,0.08621,0.0005,0.00026,1.52875,3.5764,1.10781,5.9406e-05,5.9406e-05,5.9406e-05
3,27.0341,1.89216,3.72544,1.39889,0.00778,0.12069,0.00117,0.00086,1.18755,3.5186,0.97148,9.802e-05,9.802e-05,9.802e-05
4,28.1971,1.41208,3.61468,1.16467,0.01333,0.2069,0.00326,0.00145,1.12395,3.47321,0.91913,0.000135842,0.000135842,0.000135842
5,29.3551,1.40673,3.48498,1.07601,0.02222,0.34483,0.00811,0.00441,1.04429,3.40896,0.87301,0.000172872,0.000172872,0.000172872
6,30.3575,1.0366,3.15771,0.90896,0.04778,0.74138,0.04131,0.02747,0.93292,3.35426,0.84179,0.00020911,0.00020911,0.00020911
7,31.2934,1.1348,2.89342,0.90958,0.05333,0.82759,0.27656,0.15387,1.06344,3.30003,0.84925,0.000244556,0.000244556,0.000244556
8,32.3313,1.04469,2.49616,0.8737,0.05556,0.86207,0.39202,0.14411,1.23604,3.30059,0.8747,0.00027921,0.00027921,0.00027921
9,33.2551,1.0246,2.05572,0.85548,0.05667,0.87931,0.36132,0.11483,1.14514,3.27235,0.86143,0.000313072,0.000313072,0.000313072
10,34.1381,1.01515,1.93833,0.85065,0.05667,0.87931,0.39746,0.15012,1.0281,3.24884,0.84028,0.000346142,0.000346142,0.000346142
11,35.0791,0.98388,1.88136,0.85825,0.05556,0.86207,0.46802,0.19084,1.05879,3.23494,0.84009,0.00037842,0.00037842,0.00037842
12,35.9692,1.0626,1.77322,0.87059,0.05556,0.86207,0.49244,0.20955,1.10633,3.18673,0.84456,0.000409906,0.000409906,0.000409906
13,36.96,0.95324,1.51882,0.84112,0.05333,0.82759,0.48563,0.17249,1.06879,3.16925,0.83438,0.0004406,0.0004406,0.0004406
14,37.8354,0.99294,1.30396,0.84656,0.05444,0.84483,0.45833,0.17982,1.01794,3.1123,0.84003,0.000470502,0.000470502,0.000470502
15,38.7189,1.14319,1.38298,0.8977,0.05222,0.81034,0.44389,0.16264,0.97688,3.0716,0.84208,0.000499612,0.000499612,0.000499612
16,39.6199,1.02765,1.29458,0.88191,0.05222,0.81034,0.46351,0.19221,1.06539,3.00357,0.85981,0.00052793,0.00052793,0.00052793
17,40.5438,1.01575,1.04264,0.85676,0.05222,0.81034,0.33018,0.14977,1.19718,2.97909,0.88169,0.000555456,0.000555456,0.000555456
18,41.4479,0.91889,0.89071,0.84252,0.05222,0.81034,0.33049,0.1563,1.07702,2.93816,0.85907,0.00058219,0.00058219,0.00058219
19,42.4456,1.0199,0.91529,0.87698,0.05222,0.81034,0.44938,0.29064,1.05039,2.89191,0.8399,0.000608132,0.000608132,0.000608132
20,43.3804,0.92305,0.79784,0.85389,0.05222,0.81034,0.51863,0.36222,1.02619,2.86194,0.84085,0.000633282,0.000633282,0.000633282
21,44.2817,0.94377,0.8044,0.86224,0.05222,0.81034,0.57398,0.418,1.04192,2.8271,0.8579,0.00065764,0.00065764,0.00065764
22,45.1561,0.95703,0.7743,0.84944,0.05222,0.81034,0.66628,0.4866,1.07113,2.76808,0.8649,0.000681206,0.000681206,0.000681206
23,45.9757,0.93742,0.74824,0.86076,0.05222,0.81034,0.71328,0.4839,1.10012,2.70425,0.85387,0.00070398,0.00070398,0.00070398
