epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5957,1.9477,4.08117,0.00482,0.00222,0.03448,8e-05,4e-05,1.82469,3.73751,0.00534,2e-05,2e-05,2e-05
2,15.9525,1.67238,4.12464,0.00457,0.00111,0.01724,2e-05,1e-05,1.6954,3.75161,0.0046,5.9703e-05,5.9703e-05,5.9703e-05
3,17.3377,1.84175,4.08844,0.00478,0.00111,0.01724,2e-05,2e-05,1.45742,3.67693,0.00379,9.901e-05,9.901e-05,9.901e-05
4,18.6065,1.52104,3.97405,0.00376,0.00111,0.01724,2e-05,2e-05,1.3802,3.64172,0.00354,0.000137921,0.000137921,0.000137921
5,19.7907,1.62957,3.84748,0.00367,0.01111,0.17241,0.00196,0.00051,1.25562,3.51409,0.00333,0.000176436,0.000176436,0.000176436
6,20.9324,1.19257,3.62208,0.00252,0.01667,0.25862,0.00453,0.00182,1.12648,3.40093,0.00304,0.000214555,0.000214555,0.000214555
7,22.1721,1.22726,3.40314,0.00271,0.02444,0.37931,0.00947,0.00534,1.0786,3.33941,0.00292,0.000252278,0.000252278,0.000252278
8,23.3863,1.13824,3.14798,0.00226,0.03667,0.56897,0.02076,0.01239,0.97183,3.27245,0.00232,0.000289605,0.000289605,0.000289605
9,24.7883,0.99936,2.95879,0.00215,0.03667,0.56897,0.02074,0.0124,0.96349,3.26991,0.00232,0.000326536,0.000326536,0.000326536
10,25.8911,1.04911,2.84791,0.00223,0.03889,0.60345,0.02361,0.01605,0.95452,3.24077,0.00228,0.000363071,0.000363071,0.000363071
11,26.9897,1.00364,2.70256,0.00219,0.04333,0.67241,0.02955,0.01991,0.92098,3.26657,0.00219,0.00039921,0.00039921,0.00039921
12,28.0505,1.03363,2.63676,0.00221,0.05,0.77586,0.03884,0.02565,0.9274,3.20713,0.00222,0.000434953,0.000434953,0.000434953
13,29.1898,1.01013,2.36981,0.00205,0.05111,0.7931,0.04142,0.02509,0.92922,3.2192,0.00223,0.0004703,0.0004703,0.0004703
14,30.2559,1.11635,2.28666,0.00213,0.05222,0.81034,0.04299,0.02846,0.93364,3.14447,0.00219,0.000505251,0.000505251,0.000505251
15,31.3839,1.21755,2.21239,0.00239,0.05,0.77586,0.03901,0.02856,0.88191,3.08218,0.0021,0.000539806,0.000539806,0.000539806
16,32.5043,1.14039,2.02594,0.00251,0.04889,0.75862,0.0372,0.02743,0.90491,2.98896,0.00222,0.000573965,0.000573965,0.000573965
17,33.6065,1.09546,1.82115,0.0022,0.04889,0.75862,0.03725,0.0281,0.89719,2.86978,0.00225,0.000607728,0.000607728,0.000607728
18,34.7535,1.03307,1.7445,0.00221,0.04889,0.75862,0.20008,0.17343,0.88866,2.7237,0.00221,0.000641095,0.000641095,0.000641095
19,35.8634,1.10752,1.74661,0.00245,0.04889,0.75862,0.50261,0.36164,0.92856,2.67032,0.00231,0.000674066,0.000674066,0.000674066
20,36.9241,1.00674,1.78287,0.00214,0.05,0.77586,0.6441,0.47683,0.96134,2.53451,0.00237,0.000706641,0.000706641,0.000706641
21,38.0281,1.00948,1.85326,0.00214,0.05,0.77586,0.64999,0.51214,0.94594,2.42861,0.00237,0.00073882,0.00073882,0.00073882
22,39.1417,0.94853,1.6117,0.00194,0.05,0.77586,0.64291,0.51682,0.93298,2.35262,0.00234,0.000770603,0.000770603,0.000770603
23,40.1805,1.00726,1.68009,0.00218,0.05111,0.7931,0.63061,0.44658,0.95352,2.40036,0.0024,0.00080199,0.00080199,0.00080199
24,41.2867,1.15513,1.54047,0.0021,0.05111,0.7931,0.61439,0.42502,0.96071,2.38941,0.00238,0.000832981,0.000832981,0.000832981
25,42.3672,1.069,1.78439,0.00201,0.05222,0.81034,0.59756,0.45508,1.01156,2.32959,0.00255,0.000863576,0.000863576,0.000863576
26,43.4245,1.0454,1.40448,0.00224,0.05222,0.81034,0.60843,0.47583,0.99075,2.2967,0.00261,0.000893775,0.000893775,0.000893775
27,44.5398,0.9832,1.36707,0.002,0.05333,0.82759,0.63286,0.47692,1.01899,2.28317,0.00254,0.000923578,0.000923578,0.000923578
28,45.5692,1.06874,1.35954,0.00229,0.05333,0.82759,0.63286,0.47692,1.01899,2.28317,0.00254,0.000952985,0.000952985,0.000952985
29,46.7585,0.98912,1.29993,0.00213,0.05444,0.84483,0.66466,0.50963,0.94906,2.27555,0.00236,0.000981996,0.000981996,0.000981996
30,47.9007,1.05486,1.37561,0.00214,0.05556,0.86207,0.68554,0.53583,0.89904,2.24528,0.00234,0.00101061,0.00101061,0.00101061
31,48.9364,0.97056,1.30819,0.00192,0.05556,0.86207,0.68554,0.53583,0.89904,2.24528,0.00234,0.00103883,0.00103883,0.00103883
32,50.0339,1.00498,1.34658,0.00221,0.05778,0.89655,0.71876,0.54323,0.95509,2.18997,0.00248,0.00106665,0.00106665,0.00106665
33,51.1284,1.03451,1.27674,0.00206,0.05778,0.89655,0.72707,0.55044,0.93945,2.143,0.00237,0.00109408,0.00109408,0.00109408
34,52.2062,1.03726,1.34005,0.00228,0.05778,0.89655,0.72707,0.55044,0.93945,2.143,0.00237,0.00112111,0.00112111,0.00112111
35,53.3048,1.01649,1.24177,0.00208,0.42451,0.82759,0.73322,0.54697,0.92877,2.08205,0.00233,0.00114775,0.00114775,0.00114775
36,54.3544,1.06484,1.25729,0.00216,0.9059,0.49802,0.75852,0.54296,1.01058,1.98229,0.00261,0.00117399,0.00117399,0.00117399
37,55.365,0.95825,1.10252,0.00185,0.9059,0.49802,0.75852,0.54296,1.01058,1.98229,0.00261,0.00119983,0.00119983,0.00119983
38,56.415,0.9795,1.11725,0.00197,0.91606,0.37641,0.75899,0.54032,0.98501,1.87466,0.00242,0.00122528,0.00122528,0.00122528
39,57.4806,1.03584,1.11428,0.00192,0.82238,0.55889,0.75842,0.55134,0.98411,1.74498,0.00247,0.00125033,0.00125033,0.00125033
40,58.5512,1.02249,1.03766,0.00196,0.82238,0.55889,0.75842,0.55134,0.98411,1.74498,0.00247,0.00127498,0.00127498,0.00127498
41,59.6979,1.02239,1.14723,0.00214,0.81305,0.58621,0.77393,0.55536,0.99369,1.63838,0.00243,0.00129924,0.00129924,0.00129924
42,60.785,0.89634,1.19466,0.00199,0.80006,0.62069,0.78864,0.56094,0.99785,1.57893,0.00246,0.0013231,0.0013231,0.0013231
43,61.8084,0.96819,0.9646,0.00198,0.80006,0.62069,0.78864,0.56094,0.99785,1.57893,0.00246,0.00134657,0.00134657,0.00134657
44,63.0772,1.06933,1.07776,0.00225,0.75104,0.68966,0.79567,0.60262,0.92641,1.52141,0.00231,0.00136964,0.00136964,0.00136964
45,64.1282,0.94112,1.09937,0.00208,0.75104,0.68966,0.79567,0.60262,0.92641,1.52141,0.00231,0.00139232,0.00139232,0.00139232
